timestamp_unix,timestamp_iso,participant_full_id,wearing_detection_percentage,missing_value_reason
1733392200000,2024-12-05T09:50:00Z,1573-1-1-00002,,device_not_recording
1733392260000,2024-12-05T09:51:00Z,1573-1-1-00002,,device_not_recording
1733392320000,2024-12-05T09:52:00Z,1573-1-1-00002,,device_not_recording
1733392380000,2024-12-05T09:53:00Z,1573-1-1-00002,,device_not_recording
1733392440000,2024-12-05T09:54:00Z,1573-1-1-00002,,device_not_recording
1733392500000,2024-12-05T09:55:00Z,1573-1-1-00002,,device_not_recording
1733392560000,2024-12-05T09:56:00Z,1573-1-1-00002,,device_not_recording
1733392620000,2024-12-05T09:57:00Z,1573-1-1-00002,,device_not_recording
1733392680000,2024-12-05T09:58:00Z,1573-1-1-00002,,device_not_recording
1733392740000,2024-12-05T09:59:00Z,1573-1-1-00002,,device_not_recording
1733392800000,2024-12-05T10:00:00Z,1573-1-1-00002,,device_not_recording
1733392860000,2024-12-05T10:01:00Z,1573-1-1-00002,,device_not_recording
1733392920000,2024-12-05T10:02:00Z,1573-1-1-00002,,device_not_recording
1733392980000,2024-12-05T10:03:00Z,1573-1-1-00002,,device_not_recording
1733393040000,2024-12-05T10:04:00Z,1573-1-1-00002,,device_not_recording
1733393100000,2024-12-05T10:05:00Z,1573-1-1-00002,,device_not_recording
1733393160000,2024-12-05T10:06:00Z,1573-1-1-00002,,device_not_recording
1733393220000,2024-12-05T10:07:00Z,1573-1-1-00002,,device_not_recording
1733393280000,2024-12-05T10:08:00Z,1573-1-1-00002,,device_not_recording
1733393340000,2024-12-05T10:09:00Z,1573-1-1-00002,,device_not_recording
1733393400000,2024-12-05T10:10:00Z,1573-1-1-00002,,device_not_recording
1733393460000,2024-12-05T10:11:00Z,1573-1-1-00002,,device_not_recording
1733393520000,2024-12-05T10:12:00Z,1573-1-1-00002,,device_not_recording
1733393580000,2024-12-05T10:13:00Z,1573-1-1-00002,,device_not_recording
1733393640000,2024-12-05T10:14:00Z,1573-1-1-00002,,device_not_recording
1733393700000,2024-12-05T10:15:00Z,1573-1-1-00002,,device_not_recording
1733393760000,2024-12-05T10:16:00Z,1573-1-1-00002,,device_not_recording
1733393820000,2024-12-05T10:17:00Z,1573-1-1-00002,,device_not_recording
1733393880000,2024-12-05T10:18:00Z,1573-1-1-00002,,device_not_recording
1733393940000,2024-12-05T10:19:00Z,1573-1-1-00002,,device_not_recording
1733394000000,2024-12-05T10:20:00Z,1573-1-1-00002,,device_not_recording
1733394060000,2024-12-05T10:21:00Z,1573-1-1-00002,,device_not_recording
1733394120000,2024-12-05T10:22:00Z,1573-1-1-00002,,device_not_recording
1733394180000,2024-12-05T10:23:00Z,1573-1-1-00002,,device_not_recording
1733394240000,2024-12-05T10:24:00Z,1573-1-1-00002,,device_not_recording
1733394300000,2024-12-05T10:25:00Z,1573-1-1-00002,,device_not_recording
1733394360000,2024-12-05T10:26:00Z,1573-1-1-00002,,device_not_recording
1733394420000,2024-12-05T10:27:00Z,1573-1-1-00002,,device_not_recording
1733394480000,2024-12-05T10:28:00Z,1573-1-1-00002,,device_not_recording
1733394540000,2024-12-05T10:29:00Z,1573-1-1-00002,,device_not_recording
1733394600000,2024-12-05T10:30:00Z,1573-1-1-00002,,device_not_recording
1733394660000,2024-12-05T10:31:00Z,1573-1-1-00002,,device_not_recording
1733394720000,2024-12-05T10:32:00Z,1573-1-1-00002,,device_not_recording
1733394780000,2024-12-05T10:33:00Z,1573-1-1-00002,,device_not_recording
1733394840000,2024-12-05T10:34:00Z,1573-1-1-00002,,device_not_recording
1733394900000,2024-12-05T10:35:00Z,1573-1-1-00002,,device_not_recording
1733394960000,2024-12-05T10:36:00Z,1573-1-1-00002,,device_not_recording
1733395020000,2024-12-05T10:37:00Z,1573-1-1-00002,,device_not_recording
1733395080000,2024-12-05T10:38:00Z,1573-1-1-00002,,device_not_recording
1733395140000,2024-12-05T10:39:00Z,1573-1-1-00002,,device_not_recording
1733395200000,2024-12-05T10:40:00Z,1573-1-1-00002,,device_not_recording
1733395260000,2024-12-05T10:41:00Z,1573-1-1-00002,,device_not_recording
1733395320000,2024-12-05T10:42:00Z,1573-1-1-00002,,device_not_recording
1733395380000,2024-12-05T10:43:00Z,1573-1-1-00002,,device_not_recording
1733395440000,2024-12-05T10:44:00Z,1573-1-1-00002,,device_not_recording
1733395500000,2024-12-05T10:45:00Z,1573-1-1-00002,,device_not_recording
1733395560000,2024-12-05T10:46:00Z,1573-1-1-00002,,device_not_recording
1733395620000,2024-12-05T10:47:00Z,1573-1-1-00002,,device_not_recording
1733395680000,2024-12-05T10:48:00Z,1573-1-1-00002,,device_not_recording
1733395740000,2024-12-05T10:49:00Z,1573-1-1-00002,,device_not_recording
1733395800000,2024-12-05T10:50:00Z,1573-1-1-00002,,device_not_recording
1733395860000,2024-12-05T10:51:00Z,1573-1-1-00002,,device_not_recording
