timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1749475440000,2025-06-09T13:24:00Z,1573-1-1-002,,device_not_recording
1749475500000,2025-06-09T13:25:00Z,1573-1-1-002,,device_not_recording
1749475560000,2025-06-09T13:26:00Z,1573-1-1-002,,device_not_recording
1749475620000,2025-06-09T13:27:00Z,1573-1-1-002,,device_not_recording
1749475680000,2025-06-09T13:28:00Z,1573-1-1-002,,device_not_recording
1749475740000,2025-06-09T13:29:00Z,1573-1-1-002,,device_not_recording
1749475800000,2025-06-09T13:30:00Z,1573-1-1-002,,device_not_recording
1749475860000,2025-06-09T13:31:00Z,1573-1-1-002,,device_not_recording
1749475920000,2025-06-09T13:32:00Z,1573-1-1-002,,device_not_recording
1749475980000,2025-06-09T13:33:00Z,1573-1-1-002,,device_not_recording
1749476040000,2025-06-09T13:34:00Z,1573-1-1-002,,device_not_recording
1749476100000,2025-06-09T13:35:00Z,1573-1-1-002,,device_not_recording
1749476160000,2025-06-09T13:36:00Z,1573-1-1-002,,device_not_recording
1749476220000,2025-06-09T13:37:00Z,1573-1-1-002,,device_not_recording
1749476280000,2025-06-09T13:38:00Z,1573-1-1-002,,device_not_recording
1749476340000,2025-06-09T13:39:00Z,1573-1-1-002,,device_not_recording
1749476400000,2025-06-09T13:40:00Z,1573-1-1-002,,device_not_recording
1749476460000,2025-06-09T13:41:00Z,1573-1-1-002,,device_not_recording
1749476520000,2025-06-09T13:42:00Z,1573-1-1-002,,device_not_recording
1749476580000,2025-06-09T13:43:00Z,1573-1-1-002,,device_not_recording
1749476640000,2025-06-09T13:44:00Z,1573-1-1-002,,device_not_recording
1749476700000,2025-06-09T13:45:00Z,1573-1-1-002,,device_not_recording
1749476760000,2025-06-09T13:46:00Z,1573-1-1-002,,device_not_recording
1749476820000,2025-06-09T13:47:00Z,1573-1-1-002,,device_not_recording
1749476880000,2025-06-09T13:48:00Z,1573-1-1-002,,device_not_recording
1749476940000,2025-06-09T13:49:00Z,1573-1-1-002,,device_not_recording
1749477000000,2025-06-09T13:50:00Z,1573-1-1-002,,device_not_recording
1749477060000,2025-06-09T13:51:00Z,1573-1-1-002,,device_not_recording
1749477120000,2025-06-09T13:52:00Z,1573-1-1-002,,device_not_recording
1749477180000,2025-06-09T13:53:00Z,1573-1-1-002,,device_not_recording
1749477240000,2025-06-09T13:54:00Z,1573-1-1-002,,device_not_recording
1749477300000,2025-06-09T13:55:00Z,1573-1-1-002,,device_not_recording
1749477360000,2025-06-09T13:56:00Z,1573-1-1-002,,device_not_recording
1749477420000,2025-06-09T13:57:00Z,1573-1-1-002,,device_not_recording
1749477480000,2025-06-09T13:58:00Z,1573-1-1-002,,device_not_recording
1749477540000,2025-06-09T13:59:00Z,1573-1-1-002,,device_not_recording
1749477600000,2025-06-09T14:00:00Z,1573-1-1-002,,device_not_recording
1749477660000,2025-06-09T14:01:00Z,1573-1-1-002,,device_not_recording
1749477720000,2025-06-09T14:02:00Z,1573-1-1-002,,device_not_recording
1749477780000,2025-06-09T14:03:00Z,1573-1-1-002,,device_not_recording
1749477840000,2025-06-09T14:04:00Z,1573-1-1-002,,device_not_recording
1749477900000,2025-06-09T14:05:00Z,1573-1-1-002,,device_not_recording
1749477960000,2025-06-09T14:06:00Z,1573-1-1-002,,device_not_recording
1749478020000,2025-06-09T14:07:00Z,1573-1-1-002,,device_not_recording
1749478080000,2025-06-09T14:08:00Z,1573-1-1-002,,device_not_recording
1749478140000,2025-06-09T14:09:00Z,1573-1-1-002,,device_not_recording
1749478200000,2025-06-09T14:10:00Z,1573-1-1-002,,device_not_recording
1749478260000,2025-06-09T14:11:00Z,1573-1-1-002,,device_not_recording
1749478320000,2025-06-09T14:12:00Z,1573-1-1-002,,device_not_recording
1749478380000,2025-06-09T14:13:00Z,1573-1-1-002,,device_not_recording
1749478440000,2025-06-09T14:14:00Z,1573-1-1-002,,device_not_recording
1749478500000,2025-06-09T14:15:00Z,1573-1-1-002,,device_not_recording
1749478560000,2025-06-09T14:16:00Z,1573-1-1-002,,device_not_recording
1749478620000,2025-06-09T14:17:00Z,1573-1-1-002,,device_not_recording
1749478680000,2025-06-09T14:18:00Z,1573-1-1-002,,device_not_recording
1749478740000,2025-06-09T14:19:00Z,1573-1-1-002,,device_not_recording
1749478800000,2025-06-09T14:20:00Z,1573-1-1-002,,device_not_recording
1749478860000,2025-06-09T14:21:00Z,1573-1-1-002,,device_not_recording
1749478920000,2025-06-09T14:22:00Z,1573-1-1-002,,device_not_recording
1749478980000,2025-06-09T14:23:00Z,1573-1-1-002,,device_not_recording
1749479040000,2025-06-09T14:24:00Z,1573-1-1-002,,device_not_recording
1749479100000,2025-06-09T14:25:00Z,1573-1-1-002,,device_not_recording
1749479160000,2025-06-09T14:26:00Z,1573-1-1-002,,device_not_recording
1749479220000,2025-06-09T14:27:00Z,1573-1-1-002,,device_not_recording
1749479280000,2025-06-09T14:28:00Z,1573-1-1-002,,device_not_recording
1749479340000,2025-06-09T14:29:00Z,1573-1-1-002,,device_not_recording
1749479400000,2025-06-09T14:30:00Z,1573-1-1-002,,device_not_recording
1749479460000,2025-06-09T14:31:00Z,1573-1-1-002,,device_not_recording
1749479520000,2025-06-09T14:32:00Z,1573-1-1-002,,device_not_recording
1749479580000,2025-06-09T14:33:00Z,1573-1-1-002,,device_not_recording
1749479640000,2025-06-09T14:34:00Z,1573-1-1-002,,device_not_recording
1749479700000,2025-06-09T14:35:00Z,1573-1-1-002,,device_not_recording
1749479760000,2025-06-09T14:36:00Z,1573-1-1-002,,device_not_recording
1749479820000,2025-06-09T14:37:00Z,1573-1-1-002,,device_not_recording
1749479880000,2025-06-09T14:38:00Z,1573-1-1-002,,device_not_recording
1749479940000,2025-06-09T14:39:00Z,1573-1-1-002,,device_not_recording
1749480000000,2025-06-09T14:40:00Z,1573-1-1-002,,device_not_recording
1749480060000,2025-06-09T14:41:00Z,1573-1-1-002,,device_not_recording
1749480120000,2025-06-09T14:42:00Z,1573-1-1-002,,device_not_recording
1749480180000,2025-06-09T14:43:00Z,1573-1-1-002,,device_not_recording
1749480240000,2025-06-09T14:44:00Z,1573-1-1-002,,device_not_recording
1749480300000,2025-06-09T14:45:00Z,1573-1-1-002,,device_not_recording
1749480360000,2025-06-09T14:46:00Z,1573-1-1-002,,device_not_recording
1749480420000,2025-06-09T14:47:00Z,1573-1-1-002,,device_not_recording
1749480480000,2025-06-09T14:48:00Z,1573-1-1-002,,device_not_recording
1749480540000,2025-06-09T14:49:00Z,1573-1-1-002,,device_not_recording
1749480600000,2025-06-09T14:50:00Z,1573-1-1-002,,device_not_recording
1749480660000,2025-06-09T14:51:00Z,1573-1-1-002,,device_not_recording
1749480720000,2025-06-09T14:52:00Z,1573-1-1-002,,device_not_recording
1749480780000,2025-06-09T14:53:00Z,1573-1-1-002,,device_not_recording
1749480840000,2025-06-09T14:54:00Z,1573-1-1-002,,device_not_recording
1749480900000,2025-06-09T14:55:00Z,1573-1-1-002,,device_not_recording
1749480960000,2025-06-09T14:56:00Z,1573-1-1-002,,device_not_recording
1749481020000,2025-06-09T14:57:00Z,1573-1-1-002,,device_not_recording
1749481080000,2025-06-09T14:58:00Z,1573-1-1-002,,device_not_recording
1749481140000,2025-06-09T14:59:00Z,1573-1-1-002,,device_not_recording
1749481200000,2025-06-09T15:00:00Z,1573-1-1-002,,device_not_recording
1749481260000,2025-06-09T15:01:00Z,1573-1-1-002,,device_not_recording
1749481320000,2025-06-09T15:02:00Z,1573-1-1-002,,device_not_recording
1749481380000,2025-06-09T15:03:00Z,1573-1-1-002,,device_not_recording
1749481440000,2025-06-09T15:04:00Z,1573-1-1-002,,device_not_recording
1749481500000,2025-06-09T15:05:00Z,1573-1-1-002,,device_not_recording
1749481560000,2025-06-09T15:06:00Z,1573-1-1-002,,device_not_recording
1749481620000,2025-06-09T15:07:00Z,1573-1-1-002,,device_not_recording
1749481680000,2025-06-09T15:08:00Z,1573-1-1-002,,device_not_recording
1749481740000,2025-06-09T15:09:00Z,1573-1-1-002,,device_not_recording
1749481800000,2025-06-09T15:10:00Z,1573-1-1-002,,device_not_recording
1749481860000,2025-06-09T15:11:00Z,1573-1-1-002,,device_not_recording
1749481920000,2025-06-09T15:12:00Z,1573-1-1-002,,device_not_recording
