id_participant,task_type,sequence_number,timestamp,eda_value
1573-1-1-002,Perception,7,1749493661.806167,0.099568
1573-1-1-002,Perception,7,1749493662.056148,0.098133
1573-1-1-002,Perception,7,1749493662.306129,0.097562
1573-1-1-002,Perception,7,1749493662.55611,0.097709
1573-1-1-002,Perception,7,1749493662.806091,0.097182
1573-1-1-002,Perception,7,1749493663.056072,0.097138
1573-1-1-002,Perception,7,1749493663.306053,0.09825
1573-1-1-002,Perception,7,1749493663.556034,0.097153
1573-1-1-002,Perception,7,1749493663.806015,0.097416
1573-1-1-002,Perception,7,1749493664.055996,0.097811
1573-1-1-002,Perception,7,1749493664.305977,0.097211
1573-1-1-002,Perception,7,1749493664.555958,0.096026
1573-1-1-002,Perception,7,1749493664.805939,0.097226
1573-1-1-002,Perception,7,1749493665.05592,0.097299
1573-1-1-002,Perception,8,1749493544.815079,0.098997
1573-1-1-002,Perception,8,1749493545.06506,0.098148
1573-1-1-002,Perception,8,1749493545.315041,0.099275
1573-1-1-002,Perception,8,1749493545.565022,0.099904
1573-1-1-002,Perception,8,1749493545.815003,0.098733
1573-1-1-002,Perception,8,1749493546.064984,0.099392
1573-1-1-002,Perception,8,1749493546.314965,0.099363
1573-1-1-002,Perception,8,1749493546.564946,0.0997
1573-1-1-002,Perception,8,1749493546.814927,0.098924
1573-1-1-002,Perception,8,1749493547.064908,0.098821
1573-1-1-002,Perception,8,1749493547.314889,0.099743
1573-1-1-002,Perception,8,1749493547.56487,0.099846
1573-1-1-002,Perception,8,1749493547.814851,0.098441
1573-1-1-002,Perception,8,1749493548.064831,0.099817
1573-1-1-002,Perception,8,1749493548.314812,0.10049
1573-1-1-002,Perception,8,1749493548.564793,0.098763
1573-1-1-002,Perception,8,1749493548.814774,0.098207
1573-1-1-002,Perception,8,1749493549.064755,0.099802
1573-1-1-002,Perception,8,1749493549.314736,0.100314
1573-1-1-002,Perception,8,1749493549.564717,0.100212
1573-1-1-002,Perception,8,1749493549.814698,0.099714
1573-1-1-002,Perception,8,1749493550.064679,0.100036
1573-1-1-002,Perception,8,1749493550.31466,0.100519
1573-1-1-002,Perception,8,1749493550.564641,0.100797
1573-1-1-002,Perception,8,1749493550.814622,0.101032
1573-1-1-002,Perception,8,1749493551.064603,0.100109
1573-1-1-002,Perception,8,1749493551.314584,0.100519
1573-1-1-002,Perception,8,1749493551.564565,0.10027
1573-1-1-002,Perception,8,1749493551.814546,0.099978
1573-1-1-002,Perception,8,1749493552.064527,0.100036
1573-1-1-002,Perception,8,1749493552.314508,0.099363
1573-1-1-002,Perception,8,1749493552.564489,0.100431
1573-1-1-002,Perception,8,1749493552.81447,0.101105
1573-1-1-002,Perception,8,1749493553.064451,0.100856
1573-1-1-002,Perception,8,1749493553.314432,0.101061
1573-1-1-002,Perception,8,1749493553.564413,0.10191
1573-1-1-002,Perception,8,1749493553.814394,0.100812
1573-1-1-002,Perception,8,1749493554.064374,0.102627
1573-1-1-002,Perception,8,1749493554.314355,0.101193
1573-1-1-002,Perception,8,1749493554.564336,0.100124
1573-1-1-002,Perception,8,1749493554.814317,0.1009
1573-1-1-002,Perception,8,1749493555.064298,0.099919
1573-1-1-002,Perception,8,1749493555.314279,0.100153
1573-1-1-002,Perception,8,1749493555.56426,0.099143
1573-1-1-002,Perception,8,1749493555.814241,0.098148
1573-1-1-002,Perception,8,1749493556.064222,0.098792
1573-1-1-002,Perception,8,1749493556.314203,0.099231
1573-1-1-002,Perception,8,1749493556.564184,0.100417
1573-1-1-002,Perception,8,1749493556.814165,0.100461
1573-1-1-002,Perception,8,1749493557.064146,0.101471
1573-1-1-002,Perception,8,1749493557.314127,0.099802
1573-1-1-002,Perception,8,1749493557.564108,0.100256
1573-1-1-002,Perception,8,1749493557.814089,0.100812
1573-1-1-002,Perception,8,1749493558.06407,0.100695
1573-1-1-002,Perception,9,1749493186.842348,0.101485
1573-1-1-002,Perception,9,1749493187.092329,0.101485
1573-1-1-002,Perception,9,1749493187.342309,0.101529
1573-1-1-002,Perception,9,1749493187.59229,0.101807
1573-1-1-002,Perception,9,1749493187.842271,0.101983
