+id_participant,task_type,numero_sequence,time_beginning,midi_file
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,25,1721814243.165029,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero25.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,9,1721814264.563443,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero9.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,1,1721814283.0748286,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero1.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,22,1721814298.8242345,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero22.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,20,1721814320.5721767,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero20.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,26,1721814336.6954398,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero26.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,16,1721814355.365838,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero16.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Reproduction,1,1721814692.2050996,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero1.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Reproduction,19,1721814733.8823762,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero19.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Reproduction,26,1721814770.4174998,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero26.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Reproduction,13,1721814804.7387295,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero13.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Reproduction,9,1721814867.6384478,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero9.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Reproduction,18,1721814901.3889942,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero18.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Reproduction,3,1721814934.6065423,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero3.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Reproduction,10,1721814978.7521179,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero10.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Reproduction,23,1721815013.3805027,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero23.mid
