id_participant,sequence_number,task_type,max_phasic,nb_scr_peaks,std_raw,complexity
1573-1-1-13,20,Perception,0.0020373348674751,13,0.0011345963968749,
1573-1-1-13,20,Reproduction,0.0015502276358588,13,0.001231473097855,
1573-1-1-13,21,Perception,0.0020958198910777,10,0.0008365721176881,
1573-1-1-13,21,Reproduction,0.0014540513230602,13,0.0017301699628926,
1573-1-1-13,22,Perception,0.0023350215304628,10,0.0012101171822227,
1573-1-1-13,22,Reproduction,0.0032057635702628,10,0.0023162751347059,
1573-1-1-13,23,Perception,0.0017807418672398,11,0.0011575853281024,
1573-1-1-13,23,Reproduction,0.0026926218308936,10,0.0009945004885962,
1573-1-1-13,24,Perception,0.0029534351956292,12,0.0012935195232484,
1573-1-1-13,24,Reproduction,0.0059968679498976,11,0.0026532379243475,
1573-1-1-13,25,Perception,0.0033442494076724,15,0.000983737470858,
1573-1-1-13,25,Reproduction,0.0020783363993433,11,0.0010983169080558,
1573-1-1-13,26,Perception,0.0016197324273276,14,0.000827654356331,
1573-1-1-13,26,Reproduction,0.0017849792120479,16,0.001225370022221,
1573-1-1-21,1,Perception,0.0018714176694748,14,0.000789323442304,
1573-1-1-21,1,Reproduction,0.0017916752088772,15,0.0006922825482006,
1573-1-1-21,2,Perception,0.0023075688451275,15,0.0009643393128752,
1573-1-1-21,2,Reproduction,0.003361120231103,12,0.0011686036777092,
1573-1-1-21,3,Perception,0.0015394194157592,13,0.0007423194669514,
1573-1-1-21,3,Reproduction,0.0027054877517534,14,0.0008730344413609,
