id_participant,task_type,numero_sequence,time_beginning,time_ending
1573-1-1-31,Reproduction,15,1749766860.3898542,1749766873.94621
1573-1-1-31,Reproduction,6,1749766888.0050657,1749766901.5614216
1573-1-1-31,Reproduction,23,1749766906.3336618,1749766919.8900175
1573-1-1-31,Reproduction,19,1749766938.8950903,1749766952.4514463
1573-1-1-31,Reproduction,18,1749766963.2532992,1749766976.8096552
1573-1-1-31,Reproduction,11,1749766982.054667,1749766995.611023
1573-1-1-31,Reproduction,26,1749767004.0021362,1749767017.5584922
1573-1-1-31,Reproduction,5,1749767027.03026,1749767040.586616
1573-1-1-31,Reproduction,7,1749767059.4887786,1749767073.0451343
1573-1-1-31,Reproduction,20,1749767079.9246733,1749767093.4810293
1573-1-1-31,Reproduction,24,1749767099.3824897,1749767112.9388456
1573-1-1-31,Reproduction,2,1749767119.9559455,1749767133.5123014
1573-1-1-31,Reproduction,14,1749767161.562894,1749767175.1192498
1573-1-1-31,Reproduction,17,1749767183.03538,1749767196.591736
1573-1-1-21,Perception,26,1749488651.051642,1749488664.607998
1573-1-1-21,Perception,16,1749488679.612857,1749488693.169213
1573-1-1-21,Perception,10,1749488698.1311474,1749488711.687503
1573-1-1-21,Perception,17,1749488713.9774525,1749488727.5338085
1573-1-1-21,Perception,18,1749488736.197098,1749488749.753454
1573-1-1-21,Perception,19,1749488753.8130388,1749488767.3693948
1573-1-1-21,Perception,24,1749488774.8224242,1749488788.37878
1573-1-1-21,Perception,2,1749488796.8710215,1749488810.4273777
1573-1-1-21,Perception,1,1749488818.8809936,1749488832.4373496
1573-1-1-21,Perception,20,1749488845.728371,1749488859.2847269
1573-1-1-21,Perception,13,1749488875.7540834,1749488889.310439
1573-1-1-21,Perception,4,1749488896.420792,1749488909.977148
1573-1-1-21,Perception,6,1749488915.6779437,1749488929.2342997
1573-1-1-21,Perception,15,1749488941.5626614,1749488955.1190174
1573-1-1-21,Perception,21,1749488964.8849454,1749488978.441301
1573-1-1-21,Perception,12,1749489007.9045267,1749489021.460883
