IDParticpant,NumeroSequence,TempoAssocie,NoteAssocie
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,8,70,3
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,9,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,10,90,3
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,11,90,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,12,70,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,13,110,3
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,14,110,4
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,15,90,3
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,16,90,4
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,17,110,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,18,110,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,19,70,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,20,70,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,21,110,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,22,110,3
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,23,70,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,24,70,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,25,70,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,26,70,1
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,1,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,2,70,1
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,3,110,5
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,4,110,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,5,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,6,70,1
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,7,70,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,8,70,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,9,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,10,110,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,11,70,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,12,70,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,13,90,1
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,14,110,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,15,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,16,70,5
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,17,70,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,18,110,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,19,90,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,20,90,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,21,70,5
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,22,110,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,23,90,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,24,70,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,25,110,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,26,70,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,1,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,2,70,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,3,70,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,4,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,5,110,2
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,6,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,7,110,2
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,8,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,9,110,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,10,70,2
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,11,110,2
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,12,90,2
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,13,110,2
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,14,70,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,15,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,16,70,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,17,90,2
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,18,110,2
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,19,70,2
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,20,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,21,110,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,22,70,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,23,70,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,24,70,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,25,110,5
